brand, product_name, shipping, price, discount, current_price, rating, rating_number
Bose,Bose SoundLink Revolve Bluetooth Speaker - Black,Free Shipping,$199.00,10%,$179.00 (2 Offers)–,Rating + 4,(5)
Bose,Bose SoundLink Color II Bluetooth Wireless Portable Speaker 752195-0100 - Black,Free Shipping,0,0,$129.00 (4 Offers)–,Rating + 4,(8)
VERBATIM,Verbatim Portable Bluetooth Speaker System - Black,Free Shipping,0,0,$18.93 (10 Offers)–,Rating + 5,(1)
VERBATIM,Verbatim Portable Bluetooth Speaker System - Blue,Free Shipping,0,0,$17.84 (8 Offers)–,Rating + 3,(1)
na,QFX BT-151 SOUND BURST Portable Bluetooth Speaker,Free Shipping,0,0,$22.99 (2 Offers)–,na,na
Soundcore,Anker Soundcore Motion Boom Outdoor Speaker with Titanium Drivers| BassUp Technology| IPX7 Waterproof| 24H Playtime| Soundcore App| Built-in Handle| Portable Bluetooth Speaker for Outdoors| Camping,Free Shipping,0,0,$94.99 –,Rating + 5,(3)
Anker,[Upgraded] Anker Soundcore 2 Portable Bluetooth Speaker with 12W Stereo Sound| Bluetooth 5| Bassup| IPX7 Waterproof| 24-Hour Playtime| Wireless Stereo Pairing| Speaker for Home| Outdoors| Travel,Free Shipping,$39.99,22%,$31.39 (3 Offers)–,Rating + 4,(9)
JBL,JBL Flip 4 Portable Waterproof Bluetooth Speaker (Black),Free Shipping,0,0,$89.95 (10 Offers)–,Rating + 5,(3)
Soundcore,Anker Soundcore Bluetooth Portable Speaker with Low Harmonic Distortion and Superior Sound,Free Shipping,0,0,$27.99 (3 Offers)–,Rating + 4,(11)
Rosewill,Rosewill RW-SF5 Portable Wireless Bluetooth Speaker| TWS| Built-in Mic| Waterproof| Dustproof| 360 Immersive Surround Sound,Free Shipping,$69.99,14%,$59.99 –,Rating + 4,(21)
Soundcore,Soundcore Trance Bluetooth Speaker| Party Speaker with 18 Hour Playtime| BassUp Technology| Huge 80W Sound| LED Lights| Soundcore App| IPX7 Waterproof| Wireless Speaker for Indoors and Outdoors,Free Shipping,0,0,$149.99 –,Rating + 5,(2)
LG Electronics,LG XBOOM Go PL2 Portable Bluetooth Speaker with Meridian Audio Technology - Black,Free Shipping,$46.99,21%,$36.99 (5 Offers)–,Rating + 5,(1)
JBL,JBL Charge 3 Waterproof Portable Bluetooth Speaker (Blue),Free Shipping,0,0,$119.91 –,Rating + 4,(2)
JBL,JBL Charge 5 Portable Waterproof Bluetooth Speaker with Powerbank (Black),Free Shipping,0,0,$179.95 (4 Offers)–,na,na
